"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"44","wks01-erik","System.Byte[]","2270","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","12/9/2023 9:15:53 PM","12/9/2023 9:15:53 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2269","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/9/2023 5:02:34 PM","12/9/2023 5:02:34 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2268","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/9/2023 5:00:24 PM","12/9/2023 5:00:24 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2267","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/9/2023 3:08:15 PM","12/9/2023 3:08:15 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2266","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/9/2023 3:06:12 PM","12/9/2023 3:06:12 PM","NT AUTHORITY\SYSTEM",,
"6013","wks01-erik","System.Byte[]","2265","(0)","0","Information","The system uptime is 4202372 seconds.","EventLog","System.String[]","2147489661","12/9/2023 12:00:00 PM","12/9/2023 12:00:00 PM",,,
"7040","wks01-erik","System.Byte[]","2264","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/9/2023 2:02:37 AM","12/9/2023 2:02:37 AM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2263","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/9/2023 2:00:24 AM","12/9/2023 2:00:24 AM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2262","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/8/2023 10:42:09 PM","12/8/2023 10:42:09 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2261","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/8/2023 10:40:06 PM","12/8/2023 10:40:06 PM","NT AUTHORITY\SYSTEM",,
"19","wks01-erik","System.Byte[]","2260","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.176.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","12/8/2023 9:16:26 PM","12/8/2023 9:16:26 PM","NT AUTHORITY\SYSTEM",,
"43","wks01-erik","System.Byte[]","2259","(1)","1","Information","Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.176.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","12/8/2023 9:16:00 PM","12/8/2023 9:16:00 PM","NT AUTHORITY\SYSTEM",,
"44","wks01-erik","System.Byte[]","2258","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","12/8/2023 9:15:55 PM","12/8/2023 9:15:55 PM","NT AUTHORITY\SYSTEM",,
"1","wks01-erik","System.Byte[]","2257","(5)","5","Information","Possible detection of CVE: 2023-12-09T01:39:46.892602000Z
Additional Information: 2023-12-09T01:39:46.887277500Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-09T01:39:46.892602000Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/8/2023 8:39:46 PM","12/8/2023 8:39:46 PM","NT AUTHORITY\LOCAL SERVICE",,
"1","wks01-erik","System.Byte[]","2256","(5)","5","Information","Possible detection of CVE: 2023-12-09T01:39:46.875085800Z
Additional Information: 2023-12-09T01:39:46.871681900Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-09T01:39:46.875085800Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/8/2023 8:39:46 PM","12/8/2023 8:39:46 PM","NT AUTHORITY\LOCAL SERVICE",,
"35","wks01-erik","System.Byte[]","2255","(0)","0","Information","The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123) with reference id 1255620008. Current local stratum number is 4.","Microsoft-Windows-Time-Service","System.String[]","35","12/8/2023 8:39:46 PM","12/8/2023 8:39:46 PM","NT AUTHORITY\LOCAL SERVICE",,
"1","wks01-erik","System.Byte[]","2254","(5)","5","Information","Possible detection of CVE: 2023-12-09T01:39:46.857301400Z
Additional Information: 2023-12-09T01:39:44.716282600Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-09T01:39:46.857301400Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/8/2023 8:39:46 PM","12/8/2023 8:39:46 PM","NT AUTHORITY\LOCAL SERVICE",,
"37","wks01-erik","System.Byte[]","2253","(0)","0","Information","The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123).","Microsoft-Windows-Time-Service","System.String[]","37","12/8/2023 8:39:30 PM","12/8/2023 8:39:30 PM","NT AUTHORITY\LOCAL SERVICE",,
"7040","wks01-erik","System.Byte[]","2252","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/8/2023 4:02:33 PM","12/8/2023 4:02:33 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2251","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/8/2023 4:00:21 PM","12/8/2023 4:00:21 PM","NT AUTHORITY\SYSTEM",,
"6013","wks01-erik","System.Byte[]","2250","(0)","0","Information","The system uptime is 4115973 seconds.","EventLog","System.String[]","2147489661","12/8/2023 12:00:00 PM","12/8/2023 12:00:00 PM",,,
"7040","wks01-erik","System.Byte[]","2249","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/8/2023 6:02:28 AM","12/8/2023 6:02:28 AM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2248","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/8/2023 6:00:21 AM","12/8/2023 6:00:21 AM","NT AUTHORITY\SYSTEM",,
"19","wks01-erik","System.Byte[]","2247","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.111.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","12/7/2023 9:17:00 PM","12/7/2023 9:17:00 PM","NT AUTHORITY\SYSTEM",,
"43","wks01-erik","System.Byte[]","2246","(1)","1","Information","Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.111.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","12/7/2023 9:16:32 PM","12/7/2023 9:16:32 PM","NT AUTHORITY\SYSTEM",,
"19","wks01-erik","System.Byte[]","2245","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Update for Microsoft Defender Antivirus antimalware platform - KB4052623 (Version 4.18.23110.3) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","12/7/2023 9:05:48 PM","12/7/2023 9:05:48 PM","NT AUTHORITY\SYSTEM",,
"6","wks01-erik","System.Byte[]","2244","(0)","0","Information","File System Filter 'WdFilter' (10.0, 2047-04-28T19:32:56.000000000Z) has successfully loaded and registered with Filter Manager.","Microsoft-Windows-FilterManager","System.String[]","6","12/7/2023 9:05:17 PM","12/7/2023 9:05:17 PM","NT AUTHORITY\SYSTEM",,
"1","wks01-erik","System.Byte[]","2243","(0)","0","Information","File System Filter 'WdFilter' (Version 10.0, 2086-05-12T21:12:26.000000000Z) unloaded successfully.","Microsoft-Windows-FilterManager","System.String[]","1","12/7/2023 9:04:18 PM","12/7/2023 9:04:18 PM","NT AUTHORITY\SYSTEM",,
"43","wks01-erik","System.Byte[]","2242","(1)","1","Information","Installation Started: Windows has started installing the following update: Update for Microsoft Defender Antivirus antimalware platform - KB4052623 (Version 4.18.23110.3) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","12/7/2023 9:03:42 PM","12/7/2023 9:03:42 PM","NT AUTHORITY\SYSTEM",,
"44","wks01-erik","System.Byte[]","2241","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","12/7/2023 9:03:37 PM","12/7/2023 9:03:37 PM","NT AUTHORITY\SYSTEM",,
"44","wks01-erik","System.Byte[]","2240","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","12/7/2023 9:03:33 PM","12/7/2023 9:03:33 PM","NT AUTHORITY\SYSTEM",,
"16","wks01-erik","System.Byte[]","2239","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'119', '\??\C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\dosvcState.dat', '4', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","12/7/2023 9:03:29 PM","12/7/2023 9:03:29 PM","NT AUTHORITY\SYSTEM",,
"16","wks01-erik","System.Byte[]","2238","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'118', '\??\C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\migration.dat', '4', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","12/7/2023 9:03:29 PM","12/7/2023 9:03:29 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2237","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/7/2023 8:10:35 PM","12/7/2023 8:10:35 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2236","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/7/2023 8:06:46 PM","12/7/2023 8:06:46 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2235","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/7/2023 8:02:28 PM","12/7/2023 8:02:28 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2234","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/7/2023 8:00:21 PM","12/7/2023 8:00:21 PM","NT AUTHORITY\SYSTEM",,
"1","wks01-erik","System.Byte[]","2233","(5)","5","Information","Possible detection of CVE: 2023-12-07T23:40:32.380337200Z
Additional Information: 2023-12-07T23:40:32.373722200Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-07T23:40:32.380337200Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/7/2023 6:40:32 PM","12/7/2023 6:40:32 PM","NT AUTHORITY\LOCAL SERVICE",,
"1","wks01-erik","System.Byte[]","2232","(5)","5","Information","Possible detection of CVE: 2023-12-07T23:40:32.361356100Z
Additional Information: 2023-12-07T23:40:32.358112500Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-07T23:40:32.361356100Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/7/2023 6:40:32 PM","12/7/2023 6:40:32 PM","NT AUTHORITY\LOCAL SERVICE",,
"35","wks01-erik","System.Byte[]","2231","(0)","0","Information","The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123) with reference id 1255620008. Current local stratum number is 4.","Microsoft-Windows-Time-Service","System.String[]","35","12/7/2023 6:40:32 PM","12/7/2023 6:40:32 PM","NT AUTHORITY\LOCAL SERVICE",,
"1","wks01-erik","System.Byte[]","2230","(5)","5","Information","Possible detection of CVE: 2023-12-07T23:40:32.343376300Z
Additional Information: 2023-12-07T23:40:30.374444400Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-07T23:40:32.343376300Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/7/2023 6:40:32 PM","12/7/2023 6:40:32 PM","NT AUTHORITY\LOCAL SERVICE",,
"37","wks01-erik","System.Byte[]","2229","(0)","0","Information","The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123).","Microsoft-Windows-Time-Service","System.String[]","37","12/7/2023 6:40:15 PM","12/7/2023 6:40:15 PM","NT AUTHORITY\LOCAL SERVICE",,
"7040","wks01-erik","System.Byte[]","2228","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/7/2023 3:09:07 PM","12/7/2023 3:09:07 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2227","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/7/2023 3:06:12 PM","12/7/2023 3:06:12 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2226","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/7/2023 3:02:59 PM","12/7/2023 3:02:59 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2225","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/7/2023 3:00:19 PM","12/7/2023 3:00:19 PM","NT AUTHORITY\SYSTEM",,
